My abdomen hurts.,Abdominal pain
I have pain in my lower stomach area.,Abdominal pain
My gut feels uncomfortable.,Abdominal pain
There is a sharp feeling in my bowels.,Abdominal pain
I feel nervous.,Anxiety
I worry about the future.,Anxiety
I can't stop feeling anxious.,Anxiety
I am jittery and uneasy.,Anxiety
My back hurts.,Back pain
I have a sore back.,Back pain
Lying down on my back is painful.,Back pain
I have tightness in my upper back.,Back pain
My back feels tired all the time.,Back pain
My eyes are burning.,Burning eyes
There is a stinging sensation in my eyes.,Burning eyes
My eyes feel like they are on fire.,Burning eyes
My throat burns.,Burning in the throat
Swallowing is painful like a fire.,Burning in the throat
My throat won't stop hurting.,Burning in the throat
My cheeks are swelling.,Cheek swelling
My cheeks look super puffy.,Cheek swelling
My face looks bigger than usual.,Cheek swelling
The sides of my face are inflamed.,Cheek swelling
I have pain in my chest.,Chest pain
My chest hurts like a burning sensation.,Chest pain
My chest feels tight.,Chest tightness
My upper body is tight and uncomfortable.,Chest tightness
I feel cold and chilly.,Chills
I can't stop shivering even with the covers on.,Chills
I keep getting chills.,Chills
I am having consistent chills.,Chills
I keep sweating and it makes me feel cold.,Cold sweats
I sweat even when it is not hot.,Cold sweats
I've been coughing for a few days.,Cough
I can't stop coughing.,Cough
Going outside makes me cough.,Cough
My cough has been getting worse.,Cough
I lost my voice from coughing.,Cough
I feel dizzy.,Dizziness
Sometimes I feel like I will faint.,Dizziness
I have a hard time focusing and my vision phases in and out.,Dizziness
I am feeling lightheaded.,Dizziness
I can't keep my eyes open.,Drooping eyelid
My eyelids are droopy.,Drooping eyelid
My eyes feel dry.,Dry eyes
I need to use eyedrops because my eyes are so dry.,Dry eyes
My eyes are not moist.,Dry eyes
My ear hurts.,Earache
There is a sharp pain in my ears.,Earache
My ears are aching.,Earache
I have a poor appetite.,Early satiety
I feel full without eating much food.,Early satiety
When I eat I don't feel like eating much.,Early satiety
I am not very hungry.,Early satiety
My eyes ache.,Eye pain
I have pain in my eyes.,Eye pain
My eyes are red.,Eye redness
I have pink eyes that won't go away.,Eye redness
I feel like there is something in my eye.,Feeling of foreign body in the eye
My eyes are uncomfortable.,Feeling of foreign body in the eye
I have a fever.,Fever
I've been feeling unusually warm.,Fever
My forehead feels very hot.,Fever
The thermometer read above a hundred degrees.,Fever
My vision goes black.,Going black before the eyes
I feel like I am going to black out.,Going black before the eyes
My vision is irregular.,Going black before the eyes
I have a headache,Headache
My head hurts.,Headache
I have acid reflux,Heartburn
I have heartburn,Heartburn
I have the hiccups.,Hiccups
I have hot flushes.,Hot flushes
I am flushed.,Hot flushes
I feel parched.,Increased thirst
I'm thirsty.,Increased thirst
I always feel like rubbing my eyes.,Itching eyes
My eyes are itchy.,Itching eyes
My nose itches.,Itching in the nose
My lips are swollen.,Lip swelling
I have a memory gap,Memory gap
I can't remember anything.,Memory gap
I feel queasy.,Nausea
My stomach is uneasy.,Nausea
I feel like I need to throw up.,Nausea
I can't keep food down.,Nausea
I feel seasick.,Nausea
I've been feeling nauseous.,Nausea
I can't move my neck.,Neck pain
My neck hurts.,Neck pain
I feel nervous.,Nervousness
I cough in the night.,Night cough
My muscles hurt.,Pain in the limbs
I have pain in my limbs.,Pain in the limbs
I have irregular heartbeats.,Palpitations
I have palpitations,Palpitations
I don't feel like eating.,Reduced appetite
I have a small appetite,Reduced appetite
I need to keep blowing my nose,Runny nose
I have a cold,Runny nose
I have a lot of liquid mucus.,Runny nose
My nose is runny.,Runny nose
I can't take deep breaths.,Shortness of breath
I am taking short breaths.,Shortness of breath
I have shortness of breath.,Shortness of breath
I have a rash on my skin.,Skin rash
I'm not able to fall asleep.,Sleeplessness
I have been awake for a long time.,Sleeplessness
I can't sleep.,Sleeplessness
I am sneezing a lot.,Sneezing
My throat hurts.,Sore throat
I have a sore throat.,Sore throat
Swallowing is painful.,Sore throat
My belly is feeling very hot.,Stomach burning
My stomach is burning.,Stomach burning
I have a stuffy nose.,Stuffy nose
I am stuffed up.,Stuffy nose
I feel congested.,Stuffy nose
I have a hard time breathing through my nose.,Stuffy nose
I have a cold.,Stuffy nose
I am moist.,Sweating
My palms are damp.,Sweating
I am sweating.,Sweating
I feel lethargic.,Tiredness
I feel lazy.,Tiredness
I feel tired.,Tiredness
My limbs are trembling.,Tremor at rest
My muscles are twitching.,Tremor at rest
I am throwing up,Vomiting
I am vomiting,Vomiting
I am puking,Vomiting
I am throwing up blood,Vomiting blood
I am vomiting blood.,Vomiting blood
I am puking blood,Vomiting blood
I feel weak.,weakness
I gained weight.,Weight gain
I feel bloated.,Weight gain
I am fat.,Weight gain
My throat makes a noise when I breathe,Wheezing
I am wheezing,Wheezing
My toe hurts.,Weakness
My butt is sore.,Tiredness
I can't sleep.,Sleeplessness
My skin is red.,Skin Rash
I can't swallow.,Pain on swallowing
My neck is stiff.,Neck pain
I feel thirsty.,Increased thirst
I have crusty eyes.,Dry eyes
My armpits are stinky.,Sweating
I am not hungry.,Reduced appetite
I cannot move.,Paralysis
I am scared.,Nervousness
I cannot remember things.,Memory gap
My legs hurt., Pain in the limbs
My arms hurt., Pain in the limbs
I am spitting up mucus.,Sputum
I can't see.,Eye pain
I am cold and sweating.,Cold sweats
My eyelids are drooping.,Drooping eyelid
I takes short random gasps of air.,Hiccups
My nose is itchy.,Itching in the nose
My lip is swollen., Lip swelling
I'm out of breath and have short breaths.,Wheezing
My fingers hurt.,Pain in the limbs
I have spots in my vision.,Going black before the eyes
My temperature is 101.,Fever
My temperature is high.,Fever
I have a lot of water in my ear.,Earache
I cannot stand up.,Dizziness
It is warm and I feel cold.,Chills
I have not eaten or slept.,weakness
I weight 10 more pounds.,weight gain
I keep coughing at night.,Night cough
I do not remember my friend.,Memory gap
I drink a lot of water.,Increased thirst
I cannot move my neck.,Neck pain
My hips hurt.,Pain in the limbs
My elbows hurt.,Pain in the limbs
I am very itchy.,Skin rash
My skin is peeling.,Skin rash
My abs hurt.,Abdominal pain
I ate a lot of spicy food.,Stomach burning
I am crying.,Tears
I sleep too long.,Tiredness
I got knocked out., Unconsciousness, short
I got hit on the head and got knocked out.,Unconsciousness, short
My eyes feel shut together.,Dry eyes
My chest hurts after I eat.,Heartburn
My chest is burning.,Heartburn
I don't mean to shake.,Tremor at rest
I keep on moving.,Tremor at rest
I have not had my period in 4 weeks.,Missed period
My period is not regular.,Menstruation disorder
My throat is red.,Sore throat
I feel hot suddenly.,Hot flushes
I cannot stop my hiccups., Hiccups
My cough keeps me up.,Night cough
I cannot run for a lot of time.,Shortness of breath
I cannot swallow my medicine.,Pain on swallowing
I want to scratch my eyes.,Itching eyes